rollout/ep_len_mean,time/total_timesteps,custom/reward_speed,custom/status_collision_mean,custom/status_speed_avg,time/time_elapsed,time/fps,custom/status_overtake_max,time/iterations,rollout/ep_rew_mean,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/policy_gradient_loss,train/loss,train/clip_fraction
248.81,8486912,0.6812558775072903,0.0,40.87535265043742,5875,591,0,212,464.5569912900001,0.2,80.9878096818924,0.0005,0.7974874973297119,5170,-6.9369650587439535,0.009978708,58.24845886230469,-0.0031033984960231464,34.48967742919922,0.071099853515625
226.47,8503296,0.6684578078622117,0.0,40.107468471732695,5904,590,0,213,421.49553659000003,0.2,100.68491425514222,0.0005,0.7654120922088623,5180,-6.94325592070818,0.006906597,58.840518951416016,-0.0024342598702787655,42.864017486572266,0.06666259765625
222.14,8519680,0.6805884432559619,0.0,40.835306595357714,5933,590,0,214,427.7642597599999,0.2,110.09876835346222,0.0005,0.7348440885543823,5190,-6.95399896800518,0.009115591,59.66268539428711,-0.004057696769086761,37.31431579589844,0.06146240234375
259.0,8536064,0.6677635615242377,0.0,40.06581369145427,5962,590,0,215,493.59260460999997,0.2,92.16892454624175,0.0005,0.7933307886123657,5200,-6.980183221399784,0.0083068665,61.1263542175293,-0.0019716418377356605,33.00732421875,0.066650390625
274.52,8552448,0.6382089489378879,0.0,38.29253693627328,5991,590,0,216,508.3252009500001,0.2,90.13763626813889,0.0005,0.8152071833610535,5210,-6.99782145768404,0.007766095,61.87474060058594,-0.002122094108199235,31.539180755615234,0.072515869140625
286.73,8568832,0.6097140029865447,0.0,36.58284017919268,6021,590,0,217,501.10706593000003,0.2,83.60788840055466,0.0005,0.8063876628875732,5220,-6.99182702600956,0.00953839,61.42900466918945,-0.0026172574540396453,34.17079544067383,0.08656005859375
286.3,8585216,0.6308834519424833,0.0,37.853007116548994,6049,590,0,218,503.67405722999996,0.2,76.97637923955918,0.0005,0.8265085220336914,5230,-6.982276178896427,0.006569982,61.37160873413086,-0.0031541777148959226,24.412078857421875,0.07708740234375
297.67,8601600,0.6179122207013923,0.0,37.07473324208354,6078,590,0,219,520.64071881,0.2,72.92525475025177,0.0005,0.8301277756690979,5240,-6.9754918843507765,0.008884923,60.81201171875,-0.0020414969614648724,40.06015396118164,0.103582763671875
274.74,8617984,0.642243134014199,0.0,38.53458804085194,6105,590,0,220,489.74403844,0.2,77.51671937704086,0.0005,0.844182014465332,5250,-6.978592950105667,0.007045866,60.65517044067383,-0.00319372229896544,35.989723205566406,0.069171142578125
268.57,8634368,0.6431802250326681,0.0,38.590813501960085,6134,590,0,221,488.99609585999997,0.2,83.28633726835251,0.0005,0.7965060472488403,5260,-6.969233499467373,0.00967877,61.28589630126953,-0.0025461611352511682,38.47838592529297,0.083544921875
238.79,8650752,0.6671408644599892,0.0,40.02845186759936,6162,590,0,222,445.00224605000005,0.2,94.44919643402099,0.0005,0.7926682233810425,5270,-6.978367358446121,0.0061510066,61.20261001586914,-0.0035837614883348578,38.782073974609375,0.071563720703125
263.58,8667136,0.634403149350742,0.0,38.06418896104452,6190,590,0,223,483.51970962,0.2,98.7020413517952,0.0005,0.7687164545059204,5280,-6.994629724323749,0.00771358,62.901859283447266,-0.0029865061478631105,32.96017074584961,0.084765625
275.22,8683520,0.6666658081229097,0.0,39.99994848737458,6219,590,0,224,502.0033962,0.2,74.56463783979416,0.0005,0.8184213638305664,5290,-6.9921264693140985,0.010543571,62.35283660888672,-0.002221605111844838,39.223182678222656,0.09329833984375
248.12,8699904,0.6590996504523781,0.0,39.54597902714268,6249,589,0,225,456.8965190099999,0.2,93.58250801563263,0.0005,0.7842042446136475,5300,-6.982634511590004,0.016061284,61.67673110961914,-0.0035672382273332914,40.59891891479492,0.080322265625
260.41,8716288,0.6397091767854636,0.0,38.38255060712782,6278,589,0,226,470.18670456,0.2,90.26907768249512,0.0005,0.8025473356246948,5310,-6.9902476713061334,0.0063043945,61.63435363769531,-0.0020803873369004576,49.681095123291016,0.072979736328125
264.63,8732672,0.6278983898024577,0.0,37.673903388147465,6307,589,0,227,474.18862664999995,0.2,84.15760554075241,0.0005,0.818669319152832,5320,-6.999775134027004,0.0055708843,62.004276275634766,-0.0028150796533736866,40.24885177612305,0.065338134765625
275.92,8749056,0.6526201665037761,0.0,39.15720999022656,6337,589,0,228,499.43944255,0.2,82.77522002458572,0.0005,0.810860276222229,5330,-7.003802372515201,0.006672255,61.639556884765625,-0.002612476889771642,44.12898635864258,0.0732421875
277.85,8765440,0.6332106261958578,0.0,37.99263757175147,6366,589,0,229,501.51210640000005,0.2,85.80485452413559,0.0005,0.8082935810089111,5340,-7.007913245260715,0.0054760575,61.839115142822266,-0.004081057478106232,36.225914001464844,0.06474609375
254.07,8781824,0.63777289775249,0.0,38.266373865149404,6395,589,0,230,457.03897007000006,0.2,77.51324691772462,0.0005,0.818649172782898,5350,-7.0159435495734215,0.011761818,61.580081939697266,-0.002756813917221734,33.17087173461914,0.080499267578125
259.81,8798208,0.6191318177381007,0.0,37.14790906428604,6424,589,0,231,461.54282038,0.2,96.03741060495376,0.0005,0.7727248668670654,5360,-7.0417564630508425,0.0061023533,62.19306564331055,-0.0037477454854524693,45.50326919555664,0.05836181640625
275.48,8814592,0.602825771349115,0.0,36.169546280946896,6453,589,0,232,480.73868645000005,0.2,81.48784556388856,0.0005,0.800974428653717,5370,-7.052854385972023,0.010129921,62.46866226196289,-0.004323063085757894,38.27885818481445,0.0699462890625
297.18,8830976,0.6074283009759143,0.0,36.44569805855486,6481,588,0,233,501.5858194399999,0.2,78.57696377038955,0.0005,0.7962874174118042,5380,-7.046080780029297,0.0050722854,61.85063552856445,-0.0056570577511593,32.97400665283203,0.065283203125
266.39,8847360,0.6123332228624256,0.0,36.73999337174554,6511,588,0,234,464.0596012799999,0.2,70.46282052993774,0.0005,0.8313903212547302,5390,-7.036340337991715,0.006229825,61.4195442199707,-0.003883743314509047,29.475074768066406,0.07813720703125
283.6,8863744,0.6391357016671819,0.0,38.34814210003091,6539,588,0,235,498.35950801,0.2,81.36972434520722,0.0005,0.7965285778045654,5400,-7.020887634158134,0.00823531,61.038944244384766,-0.005149563954910263,42.06248474121094,0.069415283203125
